"id","catalogueNumber","scientificNameIntepreted","latitude","longitude","coordinateUncertaintyInMetres","month","year","basisOfRecord"
"c03b3d65-a41b-48a2-bd62-2ba4c43d576a","SPJGI2805904","Argyrodendron trifoliolatum",-28.627041024061,153.335597,100,12,1994,"HUMAN_OBSERVATION"
"c03d5259-ea03-43fe-8dac-a8f71273c727","SJJSI0392639","Argyrodendron trifoliolatum",-28.5706660239674,153.31046,10,6,2017,"HUMAN_OBSERVATION"
"c045625e-ed22-4e83-85ae-7d9a1cbacfaf","SPJGI3546558","Argyrodendron trifoliolatum",-30.2443910267175,153.000744,100,3,1992,"HUMAN_OBSERVATION"
"c0fa6242-0071-4acc-8f00-e564e430d5d6","SIXRI1508847","Argyrodendron trifoliolatum",-28.3887870236652,152.696226,6,1,2016,"HUMAN_OBSERVATION"
"c1812fdb-1536-4758-bf60-0a8be131b563","SCOS1804200B","Argyrodendron trifoliolatum",-28.8843780244875,153.401206,6,1,2018,"HUMAN_OBSERVATION"
"c19a2ca0-3077-4100-9b8a-08c9b8801605","SPJGI3551351","Argyrodendron trifoliolatum",-28.2934870235067,153.179909,100,3,1992,"HUMAN_OBSERVATION"
"c2a2fba0-834f-4635-9450-a211d9d6ba3b","SCOS1804040P","Argyrodendron trifoliolatum",-28.8275430243934,153.446784,15,2,2018,"HUMAN_OBSERVATION"
"c2b021ef-5648-4e35-aa49-43de5ca8d502","SJJSI0390043","Argyrodendron trifoliolatum",-28.2498110234341,153.263928,10,7,2017,"HUMAN_OBSERVATION"
"c2eef0b3-31ce-4d85-bb2a-7177f495658f","SIXRI0950555","Argyrodendron trifoliolatum",-30.0622480264219,153.109713,9,7,2015,"HUMAN_OBSERVATION"
"c32a87ec-f119-4d64-834c-debc44c3db80","SAOH17080243","Argyrodendron trifoliolatum",-28.2492150234331,153.264528,10,7,2017,"HUMAN_OBSERVATION"
"c3696117-e0fe-4647-bf05-84d869c75fd7","SPJGI4429320","Argyrodendron trifoliolatum",-30.198402026643,153.017743,100,4,1991,"HUMAN_OBSERVATION"
